variable,label,decision,registered,missing,section
ESP_OTRO_SEGURO,Tipo de seguro médico de la persona usuaria: Especificar otro seguro médico,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
NINGUN_SEGURO,Tipo de seguro médico de la persona usuaria: Ningún seguro médico,Indicador agregado,3934,116234,perfil
DISCAPACIDAD_VICTIMA,¿La persona usuaria presenta algún tipo de discapacidad?,Indicador agregado,120168,0,poblaciones
VICTIMA_DISCAPACIDAD_FISICA,Tipo de discapacidad que presenta la persona usuaria: Física,Indicador agregado,1520,118648,poblaciones
VICTIMA_DISCAPACIDAD_VISUAL,Tipo de discapacidad que presenta la persona usuaria: Visual,Indicador agregado,533,119635,poblaciones
VICTIMA_DISCAPACIDAD_AUDITIVA,Tipo de discapacidad que presenta la persona usuaria: Auditiva,Indicador agregado,445,119723,poblaciones
VICTIMA_DISCAPACIDAD_PSICOSOCIAL,Tipo de discapacidad que presenta la persona usuaria: Psicosocial,Indicador agregado,458,119710,poblaciones
VICTIMA_DISCAPACIDAD_INTELECTUAL,Tipo de discapacidad que presenta la persona usuaria: Intelectual,Indicador agregado,1175,118993,poblaciones
OTRO_DISCAPACIDAD,Tipo de discapacidad que presenta la persona usuaria: Otro tipo de discapacidad,Indicador agregado,543,119625,poblaciones
ESP_OTRO_DISCAPACIDAD,Tipo de discapacidad que presenta la persona usuaria: Especificar otro tipo de discapacidad,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
AGRESOR_PERUANO,¿La presunta persona agresora es peruano/a?,Indicador agregado,118744,1424,agresor
AGRESOR_CUENTA_DNI,¿La presunta persona agresora cuenta con DNI?,Indicador agregado,116647,3521,agresor
VICTIMA_RECUERDA_N_DNI_AGRESOR,¿La persona usuaria recuerda número de DNI de la presunta persona agresora?,Indicador agregado,111825,8343,agresor
AGRESOR_EXTRANJERO,¿La presunta persona agresora es extranjero/a?,Indicador agregado,118349,1819,agresor
AGRESOR_PAIS_EXTRANJERO,¿Escribir el código del país de la nacionalidad extranjera de la presunta persona agresora?,Indicador agregado,2090,118078,agresor
AGRESOR_CARNE_EXTRANJERIA,¿La presunta persona agresora cuenta con carné de extranjería?,Indicador agregado,2090,118078,agresor
AGRESOR_SOLICITANTE_REFUGIO,Situación migratoria de la presunta persona agresora: Solicitante de refugio,Indicador agregado,33,120135,agresor
AGRESOR_REFUGIADO,Situación migratoria de la presunta persona agresora: Refugiado,Indicador agregado,40,120128,agresor
AGRESOR_SOLICITANTE_ASILO,Situación migratoria de la presunta persona agresora: Solicitante de asilo,Indicador agregado,2,120166,agresor
AGRESOR_ASILADO,Situación migratoria de la presunta persona agresora: Asilado,Indicador agregado,0,120168,agresor
AGRESOR_APATRIDA,Situación migratoria de la presunta persona agresora: Apátrida,Indicador agregado,1,120167,agresor
AGRESOR_OTRA_SIT_MIGR,Situación migratoria de la presunta persona agresora: Otra situación migratoria,Indicador agregado,48,120120,agresor
AGRESOR_ESP_OTRA_SIT_MIGR,Situación migratoria de la presunta persona agresora: Especificar otra situación migratoria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
AGRESOR_NINGUNA_SIT_MIGR,Situación migratoria de la presunta persona agresora: Ninguna situación migratoria,Indicador agregado,539,119629,agresor
VINCULO_AGRESOR_VICTIMA,Vínculo que tiene la presunta persona agresora con la persona usuaria,Indicador agregado,120168,0,agresor
VINCULO_PAREJA,Vínculo relacional de pareja,Indicador agregado,54573,65595,agresor
OTRO_VINCULO_PAREJA,Especificar otra relación sexo-afectiva,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
VINCULO_FAMILIAR,Vínculo relacional familiar,Indicador agregado,51813,68355,agresor
OTRO_VINCULO_FAMILIAR,Especificar otro familiar,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
SIN_VINCULO,Sin vínculo relacional de pareja ni familiar,Indicador agregado,13782,106386,agresor
OTRO_SIN_VINCULO,Especificar otro,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
AGRESOR_VIVE_CASA_VICTIMA,Actualmente la presunta persona agresora vive en la casa de la persona usuaria,Indicador agregado,120168,0,agresor
AGRESOR_TIPO_VIA_DOMICILIO,Tipo de vía del domicilio de la presunta persona agresora,Indicador agregado,41791,78377,agresor
AGRESOR_DPTO_DOMICILIO,Código UBIGEO del departamento de lugar de residencia de la presunta persona agresora,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
AGRESOR_PROV_DOMICILIO,Código UBIGEO de la provincia de lugar de residencia de la presunta persona agresora,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
AGRESOR_DIST_DOMICILIO,Código UBIGEO del distrito de lugar de residencia de la presunta persona agresora,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
AGRESOR_CENTRO_POBLADO_DOMICILIO,Código UBIGEO del centro poblado de lugar de residencia de la presunta persona agresora,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
AGRESOR_AREA_RESIDENCIA_DOMICILIO,Área de residencia del domicilio de la presunta persona agresora,Indicador agregado,44981,75187,agresor
EDAD_AGRESOR,Edad de la presunta persona agresora,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
SEXO_AGRESOR,Sexo de la presunta persona agresora,Indicador agregado,120168,0,agresor
NIVEL_EDUCATIVO_AGRESOR,Nivel educativo de la presunta persona agresora,Indicador agregado,110365,9803,agresor
TRABAJA_AGRESOR,¿La presunta persona agresora cuenta con un trabajo remunerado u ocupación para generar ingresos propios?,Indicador agregado,111953,8215,agresor
OCUPACION_AGRESOR,Ocupación de la presunta persona agresora,Indicador agregado,85085,35083,agresor
ESP_OTRA_OCUPACION_AGRESOR,Especificar otra ocupación de la presunta persona agresora,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DISCAPACIDAD_AGRESOR,¿La presunta persona agresora presenta algún tipo de discapacidad?,Indicador agregado,116499,3669,agresor
AGRESOR_DISCAPACIDAD_FISICA,Tipo de discapacidad que presenta la presunta persona agresora: Física,Indicador agregado,456,119712,agresor
AGRESOR_DISCAPACIDAD_VISUAL,Tipo de discapacidad que presenta la presunta persona agresora: Visual,Indicador agregado,151,120017,agresor
AGRESOR_DISCAPACIDAD_AUDITIVA,Tipo de discapacidad que presenta la presunta persona agresora: Auditiva,Indicador agregado,85,120083,agresor
